etablissement_id,site_web,adresse,nb_etudiants,url_logo,url_image
0601700X,https://www.sevigne-compiegne.fr/,20 rue de la Sous-Préfecture 60200 Compiègne,145,,
0601700X,https://www.sevigne-compiegne.fr/,20 rue de la Sous-Préfecture 60200 Compiègne,152,,
0601832R,https://jean-monnet-crepy-en-valois.ac-amiens.fr/,10 rue des Cèdres 60800 Crépy-en-Valois,1141,,
0601832R,https://jean-monnet-crepy-en-valois.ac-amiens.fr/,10 rue des Cèdres 60800 Crépy-en-Valois,1168,,
0610001V,http://lyceealainalencon.fr,27 boulevard Mézeray BP 341 61014 Alençon,758,,
0610001V,http://lyceealainalencon.fr,27 boulevard Mézeray BP 341 61014 Alençon,763,,
0610018N,http://lyceedesandaines.fr,3 place du Général de Gaulle 61600 La Ferté-Macé,274,,
0610018N,http://lyceedesandaines.fr,3 place du Général de Gaulle 61600 La Ferté-Macé,285,,
0620166U,https://lgt-albert-chatelet-saint-pol-sur-ternoise.62.ac-lille.fr/,15 rue Cassin BP 70050 62165 Saint-Pol-sur-Ternoise,813,,
0620166U,https://lgt-albert-chatelet-saint-pol-sur-ternoise.62.ac-lille.fr/,15 rue Cassin BP 70050 62165 Saint-Pol-sur-Ternoise,869,,
0782549X,https://lyc-bascan.fr/,5 avenue du Général Leclerc BP 93 78513 Rambouillet,2376,,
0782549X,https://lyc-bascan.fr/,5 avenue du Général Leclerc BP 93 78513 Rambouillet,2387,,
0801209E,https://www.stefa.org/,5 rue de Castille 80000 Amiens,831,,
0801209E,https://www.stefa.org/,5 rue de Castille 80000 Amiens,835,,
0860009T,http://www.lyceecivray.net,42 rue Duplessis BP 70016 86400 Civray,388,,
0860009T,http://www.lyceecivray.net,42 rue Duplessis BP 70016 86400 Civray,420,,
0860021F,http://etab.ac-poitiers.fr/lycee-guy-chauvet,Rue de l'Éperon BP 10069 86206 Loudun,423,,
0860021F,http://etab.ac-poitiers.fr/lycee-guy-chauvet,Rue de l'Éperon BP 10069 86206 Loudun,449,,
